Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rch,Z,N,eb_pred,r_pred,eb_unc,r_unc
3772,4,-0.318321717464,-0.324232720555,-0.323173810537,-0.241144983307,2.223150839042,0.483495417341,-0.032536234121,-1.095733613593,0.883608052288,0.232495818763,-0.872389636749,-0.743915446073,-0.500105210151,-0.651971735281,0.949867846418,-1.658594602415,-0.415280755698,O23,1/2,+,1.0,-69.1507264,O23,1/2,+,1.0,-69.1507264,7.69732435,0.4122446379714952,-0.0712277383866927,2.9371971570844204,8,15,-71.28372,3.0292237,2.7129100997411446,0.033420637288349125
5287,4,-0.355975966789,-0.357231173798,-0.356216176467,-0.242183388595,2.779207512741,0.429880719176,-0.125734894987,-1.369509152273,0.905655842577,0.20654970276,-0.868544396381,-0.741224902628,-0.820088817984,-0.221434314263,0.757740279093,3.187886167978,0.719712036447,O23,1/2,+,1.0,-62.2674701,O23,1/2,+,1.0,-62.2674701,8.12950619,0.6555354731867403,-0.048177735304024,3.053792693992622,8,15,-63.062836,3.141614,2.5712738499101095,0.03332924386236297
7078,4,-0.333445465249,-0.336911362318,-0.337506725737,-0.246097980776,2.527352816945,0.782434660464,-0.004327679098,-1.154339578327,0.766172475443,0.532908962362,-0.862660276905,-0.738147309369,-0.391065451842,-0.756990368257,0.999605791972,-0.564167469489,-0.18045180328,O23,1/2,+,1.0,-106.8308286,O23,1/2,+,1.0,-106.8308286,7.12426891,0.3045991873752376,-0.0725564335937551,2.818704942660988,8,15,-107.302864,2.9110618,2.6997565677587314,0.03368270051910278
15412,4,-0.336678037786,-0.337633529024,-0.337496673934,-0.250521781007,2.487066264973,1.480662155906,-0.000377765293,-1.111432020387,0.816046597305,0.522983321575,-0.851961796265,-0.754939462783,-0.465960461307,-0.696210370241,0.9702425976,-0.082520950317,0.022949233772,O23,1/2,+,1.0,-91.1549543,O23,1/2,+,1.0,-91.1549543,7.52234645,0.3403553575843991,-0.0761205425372676,2.8940226597328382,8,15,-92.092255,2.9905722,2.5142022378929783,0.03399219194375487
17355,4,-0.336561153286,-0.33070418896,-0.335932473018,-0.224544672229,2.398932671841,0.773157523453,0.058309291234,-1.034842942211,0.655914815072,0.246053008514,-0.726935994258,-0.744303890167,-0.342739287553,-0.847046591711,1.032626946939,3.438269510077,0.624358198542,O23,1/2,+,1.0,-68.9678691,O23,1/2,+,1.0,-68.9678691,8.36588064,0.6462007389323371,-0.0474507442522905,3.090860159353711,8,15,-71.02815,3.1810484,2.6731909365340334,0.03357358513711529
17862,4,-0.339407331906,-0.346224882003,-0.344764017923,-0.235294677209,2.622145616686,0.926474485368,-0.034361135771,-1.278659916215,0.797885795311,0.242501864652,-0.893021379595,-0.774986637344,-0.633464644149,-0.470639849557,0.86827824714,2.695208283526,0.609130728323,O23,1/2,+,1.0,-67.0411364,O23,1/2,+,1.0,-67.0411364,8.09331399,0.475622784019354,-0.0671966953828761,3.0150499114668863,8,15,-68.42133,3.1065853,2.5627749595508282,0.03353881832818871
18060,4,-0.340280973313,-0.340546121747,-0.341688787882,-0.237628162514,2.577477992714,1.145271295162,0.083405575355,-0.888401597679,0.806921994071,0.284284851188,-0.836000012719,-0.765847644927,-0.403501795356,-0.789390242156,0.956625533854,-2.363699016063,-0.239097286356,O23,1/2,+,1.0,-78.6987707,O23,1/2,+,1.0,-78.6987707,7.854613,0.3745730055957296,-0.0694547477380147,2.9577892331702262,8,15,-80.28333,3.042033,2.613768086233798,0.031079013490509698
23778,4,-0.328657229577,-0.327255432275,-0.329000960225,-0.240573665232,2.343591832867,1.491773843029,0.02982155246,-1.063158302609,0.699066698757,0.499009200744,-0.753879185394,-0.727061343852,-0.305586469849,-0.875137485332,1.099406253431,3.884709223548,0.661740777372,O23,1/2,+,1.0,-80.5850911,O23,1/2,+,1.0,-80.5850911,8.09289351,0.5121201087444814,-0.0638718418237749,3.0215770165462783,8,15,-82.53083,3.107023,2.8547443689986984,0.033511488589323374
25266,4,-0.332689246953,-0.336354729443,-0.330625456731,-0.24309331515,2.466148750615,0.507794425644,0.054546135869,-0.922750918393,0.79674015176,0.393773329001,-0.773535763886,-0.714947074889,-0.388579918714,-0.772542337833,1.014043464681,-3.661816657592,-0.67160979479,O23,1/2,+,1.0,-78.4699334,O23,1/2,+,1.0,-78.4699334,7.49196922,0.4658121270855737,-0.0632440188121213,2.9126144987405134,8,15,-81.07749,3.0007262,2.745490436375902,0.03375648483960028
26807,4,-0.325228004936,-0.319450891558,-0.322259700062,-0.239838951132,2.167160299447,1.357264654054,0.027412083331,-1.139211537494,0.726749089118,0.441689379722,-0.823430354623,-0.741993389945,-0.34562678068,-0.826568978678,1.126005359662,0.397787740932,-0.189475021575,O23,1/2,+,1.0,-82.376384,O23,1/2,+,1.0,-82.376384,7.63809794,0.3799208619424569,-0.0744841682297596,2.9210136123805888,8,15,-83.863754,3.0194387,2.606401289527324,0.03401841309228975
29451,4,-0.331056927,-0.337961082198,-0.332460168577,-0.258502156255,2.453895716358,0.467355808233,-0.025697490676,-1.02929826274,0.953856369543,0.466616626347,-0.867184494074,-0.708004970964,-0.449185100476,-0.703489464765,0.97091337316,1.661469582368,0.337769901169,O23,1/2,+,1.0,-104.2224316,O23,1/2,+,1.0,-104.2224316,7.32636278,0.4197560066321245,-0.0632022839554651,2.876056743646874,8,15,-104.77066,2.975637,2.587253952988358,0.03295527275262174
29954,4,-0.335677110115,-0.341073627582,-0.335592188906,-0.264061906705,2.49767386622,1.167204926943,-0.033640253404,-1.058573037679,1.01329282954,0.513801251147,-0.793434863745,-0.753493034085,-0.604149137018,-0.498427487142,0.901251478829,-1.030653986112,-0.244293866315,O23,1/2,+,1.0,-70.4888631,O23,1/2,+,1.0,-70.4888631,8.04805558,0.5774982262444016,-0.0624410290766896,3.025210516173661,8,15,-74.158516,3.1093256,2.6089531329095457,0.03186186856075867
33257,4,-0.329580945769,-0.330441996558,-0.326005129558,-0.261855589043,2.296427833206,0.399278279442,-0.02623640496,-1.088716725379,0.968170463593,0.559501759135,-0.803561458825,-0.721742622984,-0.509738036278,-0.584720954491,0.952593765503,3.089199361039,0.345373176524,O23,1/2,+,1.0,-88.1688618,O23,1/2,+,1.0,-88.1688618,7.64404269,0.6154283990513165,-0.0498975080827536,2.966202870838164,8,15,-90.923485,3.049496,2.6779421099341842,0.031815621978110664
33709,4,-0.341313693701,-0.337269503798,-0.34070730962,-0.256635292937,2.431953887899,1.315460482594,0.004242914608,-1.110028389651,0.874395375721,0.565749177855,-0.773214789946,-0.748169427487,-0.524849057942,-0.605154046216,0.902689042266,-3.235292949651,-1.044531926109,O23,1/2,+,1.0,-72.6097413,O23,1/2,+,1.0,-72.6097413,8.01570036,0.5524633541955477,-0.0650987543155684,3.0152696147906872,8,15,-74.634895,3.1110206,2.605179128278995,0.03216818910727993
36320,4,-0.342805188193,-0.343707503003,-0.340450537682,-0.250463530921,2.507639061379,0.70295904124,-0.11472863639,-1.211032813117,0.96184472345,0.275545721932,-0.859932691501,-0.720309450171,-0.752804407052,-0.295841874336,0.814829812842,1.185201659694,0.259052527934,O23,1/2,+,1.0,-59.1312934,O23,1/2,+,1.0,-59.1312934,8.06682812,0.6167115864841277,-0.0547723900616389,3.03604235912849,8,15,-61.232094,3.1339328,2.5320806556041218,0.0342013548371226
36443,4,-0.336729080043,-0.33479567283,-0.34230921877,-0.237849038951,2.533985957988,0.450568799377,0.102871771236,-1.104687657012,0.772376377023,0.346414274848,-0.803804269262,-0.751358727722,-0.340744369796,-0.82523285944,1.001984680705,-2.702964180828,-0.572961468818,O23,1/2,+,1.0,-101.5039093,O23,1/2,+,1.0,-101.5039093,7.23139085,0.3663471433875123,-0.0671916621950121,2.849444195135693,8,15,-102.325905,2.9426064,2.694826121058403,0.03317833617384568
45524,4,-0.316753204598,-0.32204664039,-0.322455538326,-0.229156657252,2.257661055295,0.725889831851,0.118864748533,-0.966582908901,0.67940042876,0.293940520576,-0.747604905537,-0.768418183736,-0.181206319794,-1.109814905722,1.149324282819,2.171562507451,0.472221728204,O23,1/2,+,1.0,-87.8223277,O23,1/2,+,1.0,-87.8223277,7.86172656,0.4686974886792773,-0.0631312719572743,2.975916441488572,8,15,-88.82652,3.068079,2.514930320202235,0.03253438680817702
50112,4,-0.32699609948,-0.330505305307,-0.321415045848,-0.255717315589,2.325998356899,0.788083631659,-0.001040754904,-1.054232083627,0.95304951497,0.456360876497,-0.743981194677,-0.749229614374,-0.452795425315,-0.675298646903,1.004191777252,2.378690276987,0.367794660675,O23,1/2,+,1.0,-73.3606418,O23,1/2,+,1.0,-73.3606418,8.04735701,0.641482663359618,-0.0527687961583264,3.037244930393545,8,15,-74.728134,3.123353,2.606690669385664,0.03200404250469646
52622,4,-0.349767502034,-0.344232829507,-0.34650416894,-0.241110831936,2.483882643219,0.551901581807,-0.200118241661,-1.129519908354,0.895663821525,0.194148255984,-1.02841560499,-0.728979225108,-0.853846896351,-0.18995183266,0.742863065886,3.522416403185,0.632941175035,O23,1/2,+,1.0,-58.5840507,O23,1/2,+,1.0,-58.5840507,8.1236846,0.5394003966149127,-0.0553940841193112,3.032569340096876,8,15,-61.394215,3.1242752,2.5202968836808815,0.031245764505905445
53159,4,-0.322727328983,-0.322079840859,-0.320917639166,-0.251340304333,2.222593828873,1.264163284251,0.112623882809,-0.997541723052,0.870807092743,0.50568366264,-0.781488701844,-0.724889673375,-0.291107699076,-0.868001241942,1.058878359514,-1.563449983677,-0.530917190087,O23,1/2,+,1.0,-85.6048088,O23,1/2,+,1.0,-85.6048088,7.71212261,0.4164788147752606,-0.0721084097196053,2.9402855142070226,8,15,-86.29523,3.0378406,2.8097812462886638,0.03293074214902194
55374,4,-0.344420829727,-0.34650835989,-0.339624414856,-0.2474631405,2.630036356777,0.828025346108,-0.040890644734,-1.165092031485,0.861242229739,0.343904140302,-0.915760190692,-0.745525159814,-0.650200654792,-0.485752226227,0.870901271592,3.311017107323,0.834146767642,O23,1/2,+,1.0,-74.1124134,O23,1/2,+,1.0,-74.1124134,7.80860709,0.4808554281832986,-0.0632110849341178,2.969012853331757,8,15,-75.64148,3.0615826,2.5514540230227594,0.03284817097782132
59626,4,-0.327611000588,-0.332186148881,-0.333512427734,-0.235487399632,2.421588859968,1.306695127233,0.068267944935,-1.038936845807,0.613163687066,0.555830085307,-0.784446650338,-0.718747140405,-0.232527290881,-0.955809222321,1.126293446428,3.377158266288,0.521551780725,O23,1/2,+,1.0,-92.7729199,O23,1/2,+,1.0,-92.7729199,7.83721415,0.4347807099367778,-0.0681213394728716,2.9652418805999465,8,15,-93.986374,3.0663497,2.697928712704152,0.03456599033288335
62707,4,-0.343346220647,-0.342106489399,-0.338310900027,-0.245023984403,2.610086127196,0.432652873884,0.000800621043,-0.975401894697,0.734653782424,0.51425793825,-0.808890952442,-0.76371288701,-0.482171176705,-0.70403753188,0.937732115525,1.159851564283,0.311076336667,O23,1/2,+,1.0,-83.8820371,O23,1/2,+,1.0,-83.8820371,7.56920173,0.5399769099978473,-0.0541704203439031,2.940033011660574,8,15,-85.53357,3.039215,2.588331316571159,0.030135780139698764
63302,4,-0.342860447124,-0.343383510593,-0.339646203736,-0.249343298396,2.493568127824,0.621517857176,-0.094003449052,-1.249830002218,0.923807882638,0.319931588411,-0.861782982415,-0.733249042861,-0.679066811333,-0.39575624517,0.867245381615,1.66477135814,0.220903739301,O23,1/2,+,1.0,-70.2978031,O23,1/2,+,1.0,-70.2978031,7.83418444,0.5681898503555824,-0.0576547573934296,2.988897024482803,8,15,-72.14573,3.0842724,2.659923204011844,0.032421846081216364
67939,4,-0.348788478938,-0.34815654094,-0.344716534383,-0.236794927678,2.693683524454,1.082547906458,-0.050279661387,-1.231080956031,0.768378977284,0.315383211156,-0.802702298367,-0.74641134498,-0.518662961762,-0.59323594331,0.925276292897,0.084038494231,0.16034506996,O23,1/2,+,1.0,-75.7045543,O23,1/2,+,1.0,-75.7045543,7.7216415,0.4499141155718931,-0.0661100248638983,2.948598223004958,8,15,-76.98157,3.0417874,2.646013147321588,0.03341972342047192
68107,4,-0.326814580531,-0.32695410291,-0.33080344562,-0.230043983656,2.35464457974,1.249303855416,0.049810752384,-1.149719394116,0.793963386992,0.190232773972,-0.699553737254,-0.755913489691,-0.306792903634,-0.898068348884,1.133398612796,-3.461833317883,-0.453932228185,O23,1/2,+,1.0,-73.85918170000001,O23,1/2,+,1.0,-73.85918170000001,7.71837721,0.354848873199586,-0.0748107331248278,2.930392676771282,8,15,-76.44698,3.0296686,2.629540904558716,0.034425599869596965
69009,4,-0.341368235064,-0.348182716788,-0.341628796396,-0.235784461572,2.694655220627,1.083111704756,0.051569673103,-1.015566955319,0.793231831368,0.266078748139,-0.831670401966,-0.756052458344,-0.461130448065,-0.706159032855,0.959909215371,2.339987786527,0.884885581572,O23,1/2,+,1.0,-76.8918005,O23,1/2,+,1.0,-76.8918005,7.98313406,0.4554457100491708,-0.0635479582478738,2.9939635438330403,8,15,-78.62522,3.0872734,2.6555876774819374,0.0339956770331171
70581,4,-0.35200488347,-0.3428113262,-0.347180011032,-0.230533872571,2.590668444851,0.605787170285,-0.002713221907,-1.20088350674,0.770310320332,0.197087224612,-0.833734976987,-0.741164220571,-0.404293164844,-0.773260738899,0.947156447842,-0.027483610829,-0.011278411501,O23,1/2,+,1.0,-95.6318434,O23,1/2,+,1.0,-95.6318434,7.41834041,0.4000869522097014,-0.0630236390179306,2.8886310967639623,8,15,-97.765976,2.9850068,2.604093145787532,0.033218050703289044
70900,4,-0.346121590574,-0.338233637268,-0.340208869412,-0.245933181235,2.484406728992,1.076231461367,-0.051415448174,-0.997876126975,0.940211362067,0.260272945366,-0.847231411156,-0.748420649483,-0.507913749498,-0.622776592076,0.945634436425,2.764689593707,0.58387005415,O23,1/2,+,1.0,-77.84812149999999,O23,1/2,+,1.0,-77.84812149999999,8.11105074,0.5214335079241201,-0.0563242010076616,3.027366171594784,8,15,-78.68485,3.1228719,2.65864997572969,0.03325447265306829
72276,4,-0.335586419095,-0.329376619009,-0.334530913025,-0.248912310667,2.358368015156,1.227725838998,0.120105028213,-0.999261864337,0.802693856406,0.524241150367,-0.78007873798,-0.709806457711,-0.329779370277,-0.819847240331,1.030500455095,-3.168960894386,-0.873070407145,O23,1/2,+,1.0,-89.99075520000001,O23,1/2,+,1.0,-89.99075520000001,7.57662785,0.4123330518547548,-0.0714881631525396,2.9165490958840747,8,15,-91.45051,3.0053368,2.638534089329786,0.03198484906651996
72297,4,-0.351446515105,-0.351211027573,-0.350561935837,-0.241283665105,2.689017020586,0.539734276742,-0.136156047102,-1.12530623213,0.916464446262,0.195300318676,-0.824429308132,-0.702473530638,-0.648584091352,-0.419626625236,0.885599272694,-1.947340193413,-0.145735527358,O23,1/2,+,1.0,-68.79597820000001,O23,1/2,+,1.0,-68.79597820000001,7.68801809,0.4991614418891201,-0.0579909216910382,2.952621631736461,8,15,-70.26484,3.0486007,2.6211034239236546,0.03187459632838505
72468,4,-0.333385736559,-0.336707072072,-0.331826865235,-0.246599089748,2.498040801875,0.614182696392,0.054890222855,-1.102561991366,0.743749433332,0.56372826728,-0.718259971294,-0.724977376792,-0.36625386755,-0.793133538727,1.029977370424,1.554155846585,0.321758294428,O23,1/2,+,1.0,-90.5517912,O23,1/2,+,1.0,-90.5517912,7.50029533,0.5513276200696737,-0.0567287619665035,2.929791814805818,8,15,-91.87021,3.0236568,2.656297013664853,0.03334229026673104
