Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rch,Z,N,eb_pred,r_pred,eb_unc,r_unc
3422,4,-0.331135542626,-0.338329725447,-0.332558333202,-0.236421708081,2.454533683587,0.717942216398,-0.015279451917,-1.091155480375,0.681913331079,0.42043320877,-0.835431096202,-0.742431623578,-0.451190154726,-0.716746601418,0.980416616079,2.531570943539,0.589978719149,O13,3/2,-,1.0,-39.3538085,O13,3/2,-,1.0,-39.3538085,-4.95551731,8.420820000736203,-1.229919887316579,1.722764839848905,8,5,-42.735374,1.9017088,2.8595981670328694,0.038634080278139984
9890,4,-0.349514389346,-0.344460983997,-0.346913593998,-0.236756892603,2.620897800724,0.599854281884,0.016253501008,-1.170643092242,0.75035928507,0.329986229176,-0.855968288547,-0.707910604504,-0.52778257378,-0.555569317406,0.934119951057,2.692792022628,0.494257871897,O13,3/2,-,1.0,-39.7936845,O13,3/2,-,1.0,-39.7936845,-5.00373598,8.397562499041427,-1.197608137751445,1.7113603569353777,8,5,-43.27119,1.8783699,2.7707623700792077,0.03784243126310939
12800,4,-0.328933100487,-0.327300873557,-0.329543785685,-0.244915018717,2.370549523255,1.063630362153,0.043149003037,-0.899900046498,0.69009703193,0.615375791687,-0.715862149234,-0.784008612356,-0.302945457952,-0.943353332382,1.054349181893,0.776258830924,0.13329292715,O13,3/2,-,1.0,-42.0483974,O13,3/2,-,1.0,-42.0483974,-5.18039511,8.61655817409586,-1.1677604002567086,1.732321723537274,8,5,-46.349445,1.9161302,2.878295976653924,0.03598695440868576
18025,4,-0.346618128785,-0.349319209414,-0.352483501573,-0.25576270645,2.73317706413,0.631740175596,-0.012824985946,-1.10947505102,0.942674979839,0.430901932441,-0.918588086435,-0.734131588969,-0.533031082065,-0.603094906372,0.919943759961,-1.267061194163,-0.067384498595,O13,3/2,-,1.0,-50.254395300000006,O13,3/2,-,1.0,-50.254395300000006,-4.54743923,7.727132672802773,-1.199302737607649,1.6470964134485642,8,5,-54.891136,1.8004342,2.7348389658907157,0.03872840717866114
18208,4,-0.344004966406,-0.343946783263,-0.347869116257,-0.234567495303,2.666463812408,1.094527839182,0.009644544733,-0.890962729802,0.747596188667,0.3038638834,-0.892955134995,-0.719420368298,-0.476276238839,-0.620618557429,0.987753542416,1.500127316468,0.420315707058,O13,3/2,-,1.0,-35.285595900000004,O13,3/2,-,1.0,-35.285595900000004,-5.53108283,9.04882698417516,-1.1868721848632622,1.750259369154154,8,5,-37.85515,1.924725,2.5805088921919146,0.034948801446083026
22021,4,-0.342913455699,-0.346952917123,-0.349551455314,-0.239834673933,2.623251783143,1.270047116787,-0.077828757859,-1.265315634376,0.82777437555,0.278560948216,-0.876016970887,-0.768588679495,-0.544396254061,-0.602455917594,0.930899246819,-3.395615031275,-0.629925052532,O13,3/2,-,1.0,-37.0808983,O13,3/2,-,1.0,-37.0808983,-4.84477505,8.420653073168769,-1.3643280616990558,1.715833864763635,8,5,-41.843216,1.893503,2.844209449081869,0.03603695968666285
25957,4,-0.350539194457,-0.349336843996,-0.348914250035,-0.258855816787,2.681645510485,0.9537380671,-0.153038718879,-1.209866160039,0.898989752142,0.57330928653,-0.91153579825,-0.70803208097,-0.707659454816,-0.334930836874,0.7998931132,-0.108057411118,-0.07566726386,O13,3/2,-,1.0,-40.2138984,O13,3/2,-,1.0,-40.2138984,-4.83916757,8.309095787080762,-1.273920777116296,1.7112987261037935,8,5,-45.290947,1.8906654,2.760602093291406,0.035979876016878964
33245,4,-0.335123832801,-0.333267098647,-0.33721477004,-0.268223590724,2.33415725886,0.495833136654,-0.044746797049,-0.896467053281,1.018399368203,0.597274680925,-0.845139082074,-0.770547627575,-0.545954032552,-0.623450260777,0.876550076829,-1.726242881925,-0.69120084337,O13,3/2,-,1.0,-43.5167503,O13,3/2,-,1.0,-43.5167503,-4.97305418,8.260545417382497,-1.1188333254526108,1.703289112843115,8,5,-48.11594,1.8797749,2.791150343641425,0.03568417934044838
33509,4,-0.337004657197,-0.336898261859,-0.338913661143,-0.243694129826,2.419048684687,1.066143645268,-0.035244737641,-1.156423254683,0.786274502218,0.425383262381,-0.883666860491,-0.732569928022,-0.600129656721,-0.474488439101,0.926283644485,3.018249337975,0.323598066754,O13,3/2,-,1.0,-32.40765777,O13,3/2,-,1.0,-32.40765777,-5.42127437,8.924727137528189,-1.1468916808673468,1.757582708341443,8,5,-36.09427,1.9264771,2.82770045688788,0.039990115858830444
36819,4,-0.352974952792,-0.343925256458,-0.346225507346,-0.232234668338,2.590770282138,0.708521021019,-0.0469480075,-1.152975511053,0.787423587522,0.195326474032,-0.754497060535,-0.758930688985,-0.510752141413,-0.649586328875,0.93166791542,-1.5358792772,-0.24571668564,O13,3/2,-,1.0,-35.1187798,O13,3/2,-,1.0,-35.1187798,-5.07228457,8.793241891354443,-1.41674987557089,1.7426254146498474,8,5,-38.438305,1.9217272,2.892204635087456,0.03755166433055845
36945,4,-0.336979111697,-0.339653118586,-0.338495139854,-0.266982140811,2.492539049662,1.037465136577,-0.040315903546,-1.101949955027,1.000206246697,0.618714385636,-0.757027068533,-0.718776923019,-0.442974621625,-0.697335501471,1.040961083512,-2.814667613781,-0.785471974932,O13,3/2,-,1.0,-45.6038247,O13,3/2,-,1.0,-45.6038247,-4.90419338,8.189297348831845,-1.1674054096022044,1.6882637380544667,8,5,-47.609043,1.8730502,2.919287328515467,0.037698178664164
