Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rch,Z,N,eb_pred,r_pred,eb_unc,r_unc
3772,4,-0.318321717464,-0.324232720555,-0.323173810537,-0.241144983307,2.223150839042,0.483495417341,-0.032536234121,-1.095733613593,0.883608052288,0.232495818763,-0.872389636749,-0.743915446073,-0.500105210151,-0.651971735281,0.949867846418,-1.658594602415,-0.415280755698,O22,0,+,1.0,-69.8643655,O22,0,+,1.0,-69.8643655,7.67878686,0.3791670293232016,-0.021009701727527,2.939405565347469,8,14,-69.1556,2.7855113,2.2135957963131174,0.026678640279946122
5287,4,-0.355975966789,-0.357231173798,-0.356216176467,-0.242183388595,2.779207512741,0.429880719176,-0.125734894987,-1.369509152273,0.905655842577,0.20654970276,-0.868544396381,-0.741224902628,-0.820088817984,-0.221434314263,0.757740279093,3.187886167978,0.719712036447,O22,0,+,1.0,-63.539902100000006,O22,0,+,1.0,-63.539902100000006,8.10236653,0.6091688857178112,0.0017516517834966,3.052285693951552,8,14,-61.258766,2.8972394,2.293674688927361,0.02758837372891871
7078,4,-0.333445465249,-0.336911362318,-0.337506725737,-0.246097980776,2.527352816945,0.782434660464,-0.004327679098,-1.154339578327,0.766172475443,0.532908962362,-0.862660276905,-0.738147309369,-0.391065451842,-0.756990368257,0.999605791972,-0.564167469489,-0.18045180328,O22,0,+,1.0,-105.0893926,O22,0,+,1.0,-105.0893926,7.10298062,0.2455360985105497,-0.031575868783051,2.814267531654995,8,14,-104.14482,2.6674767,2.400816969010147,0.028673405411510203
15412,4,-0.336678037786,-0.337633529024,-0.337496673934,-0.250521781007,2.487066264973,1.480662155906,-0.000377765293,-1.111432020387,0.816046597305,0.522983321575,-0.851961796265,-0.754939462783,-0.465960461307,-0.696210370241,0.9702425976,-0.082520950317,0.022949233772,O22,0,+,1.0,-91.2922348,O22,0,+,1.0,-91.2922348,7.50173324,0.2604027670628416,-0.0389216421739519,2.885545919733195,8,14,-89.84308,2.748782,2.419789862613196,0.027830686219948768
17355,4,-0.336561153286,-0.33070418896,-0.335932473018,-0.224544672229,2.398932671841,0.773157523453,0.058309291234,-1.034842942211,0.655914815072,0.246053008514,-0.726935994258,-0.744303890167,-0.342739287553,-0.847046591711,1.032626946939,3.438269510077,0.624358198542,O22,0,+,1.0,-69.9562043,O22,0,+,1.0,-69.9562043,8.33652586,0.5819481012003956,-0.0037040050625919,3.085114397577148,8,14,-68.13815,2.9343507,2.390153839085485,0.027789604886636166
17862,4,-0.339407331906,-0.346224882003,-0.344764017923,-0.235294677209,2.622145616686,0.926474485368,-0.034361135771,-1.278659916215,0.797885795311,0.242501864652,-0.893021379595,-0.774986637344,-0.633464644149,-0.470639849557,0.86827824714,2.695208283526,0.609130728323,O22,0,+,1.0,-67.5700405,O22,0,+,1.0,-67.5700405,8.0708241,0.4153699821276871,-0.0241148411464411,3.010853721285916,8,14,-66.27561,2.8621478,2.276223925711846,0.02576624062229987
18060,4,-0.340280973313,-0.340546121747,-0.341688787882,-0.237628162514,2.577477992714,1.145271295162,0.083405575355,-0.888401597679,0.806921994071,0.284284851188,-0.836000012719,-0.765847644927,-0.403501795356,-0.789390242156,0.956625533854,-2.363699016063,-0.239097286356,O22,0,+,1.0,-79.2213983,O22,0,+,1.0,-79.2213983,7.83575748,0.3078980496025949,-0.0322994235195747,2.952036076351883,8,14,-78.187386,2.8054783,2.4260422959169556,0.028186134167474734
23778,4,-0.328657229577,-0.327255432275,-0.329000960225,-0.240573665232,2.343591832867,1.491773843029,0.02982155246,-1.063158302609,0.699066698757,0.499009200744,-0.753879185394,-0.727061343852,-0.305586469849,-0.875137485332,1.099406253431,3.884709223548,0.661740777372,O22,0,+,1.0,-81.17642,O22,0,+,1.0,-81.17642,8.06504221,0.4185679292935838,-0.0270557385997024,3.009936094121249,8,14,-79.97155,2.8709655,2.3395624114570803,0.028131779414588918
25266,4,-0.332689246953,-0.336354729443,-0.330625456731,-0.24309331515,2.466148750615,0.507794425644,0.054546135869,-0.922750918393,0.79674015176,0.393773329001,-0.773535763886,-0.714947074889,-0.388579918714,-0.772542337833,1.014043464681,-3.661816657592,-0.67160979479,O22,0,+,1.0,-79.01986339999999,O22,0,+,1.0,-79.01986339999999,7.47253642,0.4259346424917053,-0.0162416038734817,2.9129693353377792,8,14,-78.33073,2.7501252,2.3376951581687786,0.02786426759469804
26807,4,-0.325228004936,-0.319450891558,-0.322259700062,-0.239838951132,2.167160299447,1.357264654054,0.027412083331,-1.139211537494,0.726749089118,0.441689379722,-0.823430354623,-0.741993389945,-0.34562678068,-0.826568978678,1.126005359662,0.397787740932,-0.189475021575,O22,0,+,1.0,-82.7518096,O22,0,+,1.0,-82.7518096,7.61663609,0.2992680814101449,-0.0337276013446238,2.9129602572066653,8,14,-81.29668,2.7676833,2.273939324554821,0.028238035476468824
