Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rch,Z,N,eb_pred,r_pred,eb_unc,r_unc
2028,6,-0.343215661146,-0.342758024957,-0.342997027143,-0.253318032405,2.531789788742,0.58106009474,0.012388332474,-1.155382453995,0.845421786344,0.551442158447,-0.81466481197,-0.73901119047,-0.577139286054,-0.501267042762,0.888452069814,-2.234274844967,-0.676007578694,O12,0.0,+,1.0,-41.5939871,O12,0.0,+,1.0,-41.5939871,-5.45320174,9.287400068066276,-1.612227041345934,1.7230444500129245,8,4,-39.463097,1.5342335,3.2330675936388116,0.04116541060593263
7078,6,-0.333445465249,-0.336911362318,-0.337506725737,-0.246097980776,2.527352816945,0.782434660464,-0.004327679098,-1.154339578327,0.766172475443,0.532908962362,-0.862660276905,-0.738147309369,-0.391065451842,-0.756990368257,0.999605791972,-0.564167469489,-0.18045180328,O12,0.0,+,1.0,-45.9192417,O12,0.0,+,1.0,-45.9192417,-5.17572212,8.622268402778234,-1.403431746967887,1.6703369198489109,8,4,-46.214394,1.5241932,3.1713500955662988,0.03976020622380417
8601,6,-0.339485629754,-0.335906556091,-0.336873807793,-0.244908674044,2.438305499278,1.047912311616,0.023155897758,-1.064897466802,0.818138266764,0.381662001302,-0.88242835918,-0.744649669346,-0.549721042375,-0.575517237558,0.925618877126,3.432908891093,0.495778819154,O12,0.0,+,1.0,-39.7351796,O12,0.0,+,1.0,-39.7351796,-6.48628832,9.846570506041818,-1.437176646060912,1.6340184913215965,8,4,-39.660583,1.4902323,3.129701177054725,0.041200351704138785
10427,6,-0.323158013973,-0.320020255488,-0.323900182093,-0.25562035962,2.178875921487,0.790557950557,0.113560009148,-0.900662254707,0.901653527941,0.531010953385,-0.797753938516,-0.762693604605,-0.312428127226,-0.884460743913,1.067408139989,-2.222867605683,-0.848601721904,O12,0.0,+,1.0,-43.0004389,O12,0.0,+,1.0,-43.0004389,-5.70573338,9.156658329368843,-1.4067598631580345,1.670651362855461,8,4,-40.374054,1.5188868,3.213366050294855,0.038551628828410116
10842,6,-0.348205158302,-0.352595363725,-0.349029606266,-0.264147696141,2.751121127334,0.871977741707,-0.072786213905,-1.182291544525,1.045406636316,0.455893917869,-0.940506211891,-0.717469126455,-0.689954623528,-0.353810028542,0.813840143686,3.537967605195,0.846070430801,O12,0.0,+,1.0,-45.3937092,O12,0.0,+,1.0,-45.3937092,-5.82946481,9.304956084132996,-1.400510309357922,1.679848759494459,8,4,-46.929737,1.5282987,3.2074376358073473,0.04031123638449544
12800,6,-0.328933100487,-0.327300873557,-0.329543785685,-0.244915018717,2.370549523255,1.063630362153,0.043149003037,-0.899900046498,0.69009703193,0.615375791687,-0.715862149234,-0.784008612356,-0.302945457952,-0.943353332382,1.054349181893,0.776258830924,0.13329292715,O12,0.0,+,1.0,-43.3889326,O12,0.0,+,1.0,-43.3889326,-6.10461828,9.695216956108204,-1.443462560645943,1.701189879308674,8,4,-42.908752,1.5558621,3.3516078605319874,0.03946642676792313
13360,6,-0.34386845175,-0.338748489769,-0.340669293289,-0.261391633015,2.514590820902,1.148430788295,-0.026973300589,-1.153864496273,0.943796148348,0.613333253737,-0.818569279343,-0.756554590721,-0.438969479199,-0.699111224787,1.010751285516,-2.267876975831,-0.571856024877,O12,0.0,+,1.0,-50.2870006,O12,0.0,+,1.0,-50.2870006,-5.09421542,8.588731165042159,-1.4403501367941478,1.673641687532911,8,4,-50.407143,1.5097347,3.0977542773051465,0.039372538750789665
13502,6,-0.334835692859,-0.340267697372,-0.336095510969,-0.269330439626,2.452043006695,0.765269560815,-0.069384787279,-1.328884961468,1.042638794478,0.574511013632,-0.906692758029,-0.730610216624,-0.649081038291,-0.448274857201,0.884101504608,3.920286689259,0.660803761664,O12,0.0,+,1.0,-46.7606944,O12,0.0,+,1.0,-46.7606944,-5.30962608,8.782655355395192,-1.3847465919728366,1.6838033060373636,8,4,-48.4826,1.509922,2.9988182112001027,0.04203786830568034
14958,6,-0.344059259295,-0.34338320625,-0.343000796527,-0.230242904055,2.561523817035,0.826645138483,0.048947056543,-0.918009664522,0.690906892846,0.280908995785,-0.813745128616,-0.763597906603,-0.469361763197,-0.712381392809,0.969727348859,0.676944869935,0.1960916527,O12,0.0,+,1.0,-39.78365410000001,O12,0.0,+,1.0,-39.78365410000001,-6.61705593,10.079350714635137,-1.5412290455556672,1.6333942050464942,8,4,-39.431705,1.4932618,3.265946832802941,0.0418520280192912
16113,6,-0.340141176403,-0.345278356711,-0.344220573479,-0.243361607594,2.639060630092,0.654787557883,0.081837959997,-0.912298453101,0.719266586073,0.501279208521,-0.817057554219,-0.752074013748,-0.400411483731,-0.805154224262,1.025167606761,-0.998980731268,-0.159347239553,O12,0.0,+,1.0,-43.5136996,O12,0.0,+,1.0,-43.5136996,-5.85744181,9.37931029635988,-1.4313983568731885,1.6844527359016903,8,4,-42.21322,1.5424025,3.166488867323921,0.04003410181332662
18502,6,-0.344202080626,-0.33723085124,-0.340034980506,-0.244221051758,2.445088703327,0.656554820284,0.091768746216,-1.117496482885,0.708326722133,0.525965615134,-0.741749469745,-0.768380009707,-0.418072822013,-0.814738521456,0.967008618233,2.627058159035,0.36201865756,O12,0.0,+,1.0,-47.300314400000005,O12,0.0,+,1.0,-47.300314400000005,-5.50635899,8.978838960603122,-1.4050234438415805,1.6776076468476,8,4,-48.299763,1.5048294,3.1863657115476305,0.04063852210791885
25831,6,-0.348837554783,-0.353835724456,-0.35355810725,-0.26092380636,2.630996319276,0.292080130036,-0.09442036798,-1.10657770685,1.048158354937,0.34765980246,-0.948390915679,-0.740304970774,-0.7693091413,-0.322865177799,0.822828125397,-1.815991318072,-0.502486121582,O12,0.0,+,1.0,-40.794107100000005,O12,0.0,+,1.0,-40.794107100000005,-5.71436313,9.373477507388632,-1.5718301658608262,1.6835067868968647,8,4,-38.25643,1.5615885,3.171878105187285,0.04143777372838517
30138,6,-0.324517649052,-0.325097329422,-0.328509548263,-0.238608310796,2.286266088515,1.160733768814,0.116762051391,-1.115163831898,0.666519686011,0.502863304794,-0.804330949738,-0.778962984472,-0.352299875719,-0.862720340924,1.042896079339,1.00940201505,-0.029912054165,O12,0.0,+,1.0,-40.0846066,O12,0.0,+,1.0,-40.0846066,-6.03795116,9.55622935785453,-1.4608821257742115,1.6746065096255651,8,4,-40.556347,1.5321751,3.0082840373104123,0.04003756578321317
33614,6,-0.331551919412,-0.331255917685,-0.328085143693,-0.24781971676,2.351288850329,0.725010236484,0.12565946059,-1.11378996686,0.803449689817,0.457624239494,-0.787087761789,-0.762206533557,-0.370736945652,-0.864259456238,1.046774719285,2.911847123629,0.510317932463,O12,0.0,+,1.0,-47.7833201,O12,0.0,+,1.0,-47.7833201,-5.50447735,8.865729190382721,-1.3469063778889463,1.661702847230447,8,4,-48.95833,1.4967313,3.124608391520462,0.04105283158461964
33917,6,-0.319064520301,-0.326310739859,-0.321180729704,-0.223411930624,2.423822871352,0.844398197512,0.183911504005,-0.849500250999,0.669544079294,0.238208845804,-0.729561980389,-0.721301659762,-0.123508721559,-1.090071108304,1.171566713918,-1.18996997498,0.069203572371,O12,0.0,+,1.0,-40.5180077,O12,0.0,+,1.0,-40.5180077,-6.31234567,9.778173415496058,-1.5114196086385372,1.6435689905986668,8,4,-41.636127,1.5324416,2.975747393375223,0.040530468321776286
34681,6,-0.335818073224,-0.334228509704,-0.340593271047,-0.249477360497,2.399253866894,0.397909663692,-0.053295790723,-0.906281001593,0.84969914429,0.444820773634,-0.821202761427,-0.769612777428,-0.534219810074,-0.614589486416,0.921284899047,-2.03409023783,-0.641530328912,O12,0.0,+,1.0,-40.1028307,O12,0.0,+,1.0,-40.1028307,-6.0482331,9.68399040324952,-1.557864118694857,1.68071534608174,8,4,-38.129463,1.5303894,3.193656500420333,0.03912100614332894
36471,6,-0.331630039468,-0.332135416051,-0.333201094489,-0.250360339712,2.370575347355,0.994486408646,0.00249486596,-1.003129308936,0.889858147711,0.419907210449,-0.869237953565,-0.748760100725,-0.427458320296,-0.731631766363,0.979182597142,2.663409467963,0.444435024287,O12,0.0,+,1.0,-45.9327235,O12,0.0,+,1.0,-45.9327235,-5.92737525,9.23424490149912,-1.3364773070467566,1.6484244703511175,8,4,-45.41502,1.5152217,3.205856556718807,0.04204834936162385
37850,6,-0.342731818826,-0.343091335302,-0.344285615964,-0.266283907605,2.51939402193,0.718832381604,-0.065877698225,-0.986641668844,0.978994788423,0.595111683287,-0.874361261372,-0.726575771578,-0.530181618852,-0.64934219023,0.969903403478,1.949113705076,0.359312446548,O12,0.0,+,1.0,-50.0947677,O12,0.0,+,1.0,-50.0947677,-5.46518267,8.851666699885486,-1.325133482870631,1.6757868113262069,8,4,-49.657223,1.5281162,3.1388239865397485,0.0408090504587923
38763,6,-0.335952439829,-0.33573263989,-0.329640916049,-0.23874569711,2.366825478554,0.691639800611,-0.106523996017,-1.180664480899,0.851879666208,0.221140594629,-0.946391866135,-0.737373261202,-0.720974947794,-0.351236364351,0.792408604366,2.763398645974,0.546298960872,O12,0.0,+,1.0,-38.142249500000005,O12,0.0,+,1.0,-38.142249500000005,-6.48439876,9.953679878447431,-1.705465282589398,1.5845272878237322,8,4,-37.714256,1.475852,3.1891770572670324,0.03913367340575721
39430,6,-0.33632644361,-0.333756908583,-0.33906784962,-0.247005548026,2.341342231485,1.289690800515,-0.023240726777,-1.060838649493,0.794208070339,0.438238831783,-0.898159289425,-0.737752173588,-0.612051786973,-0.526848344005,0.890056973392,2.689388265343,0.199793641483,O12,0.0,+,1.0,-36.5249965,O12,0.0,+,1.0,-36.5249965,-6.95400581,10.275276377530432,-1.4804797087389896,1.6086335035648864,8,4,-35.923782,1.5155606,3.1253730151894805,0.04066201003118147
40543,6,-0.329156273006,-0.329424267732,-0.332509307992,-0.245577716877,2.300107441859,0.579932206209,-0.006329091981,-1.263197749697,0.76485251572,0.486764014162,-0.844902133571,-0.758097991847,-0.531849021543,-0.614275968292,0.981931034438,2.892998469881,0.21829849566,O12,0.0,+,1.0,-41.1060816,O12,0.0,+,1.0,-41.1060816,-5.65887075,9.146132552654487,-1.470483615247716,1.6624346836512918,8,4,-42.05672,1.5014051,3.082520378016815,0.03941889481838913
40895,6,-0.353282606399,-0.347773580764,-0.349388224319,-0.231042212133,2.635496839692,1.408098614166,-0.088126057009,-1.157394218132,0.778439643427,0.200645237778,-0.941262917148,-0.745799899546,-0.579720148578,-0.521110107374,0.884241346273,1.278979876279,0.406806271435,O12,0.0,+,1.0,-43.5743811,O12,0.0,+,1.0,-43.5743811,-6.13766948,9.556454539481589,-1.5285050000224325,1.623943025311897,8,4,-41.29234,1.5299407,3.22681070069994,0.039273921735551276
43786,6,-0.33610895344,-0.338143398016,-0.338609707311,-0.226401689336,2.494569261425,0.739172483285,0.041099057513,-1.047630355078,0.68135487259,0.229070791786,-0.812143770755,-0.772041632923,-0.464766515717,-0.734264235103,0.908063749419,-1.586754649594,-0.290795539282,O12,0.0,+,1.0,-35.3529449,O12,0.0,+,1.0,-35.3529449,-6.55645582,10.20713696381127,-1.6892262242281102,1.645711338474387,8,4,-33.51569,1.5315802,3.19827057970604,0.04022388151644949
46404,6,-0.342174761328,-0.342859864188,-0.343294860704,-0.260894091126,2.612934216448,1.362742520328,0.020266630513,-0.891014100981,0.952845404054,0.556292124826,-0.796494046158,-0.715974059536,-0.433679915109,-0.696633648563,1.013823953717,-3.63813166811,-0.667786655411,O12,0.0,+,1.0,-44.398659,O12,0.0,+,1.0,-44.398659,-6.15219714,9.727787049496364,-1.437797377602564,1.6984414684921585,8,4,-44.96349,1.5491383,3.1278293344877484,0.03772674128374662
46407,6,-0.339064817844,-0.336642873824,-0.338228058196,-0.236353598289,2.447996754525,0.840848836861,0.059202685896,-0.90907236737,0.746275929239,0.300837825746,-0.812584307955,-0.7303075358,-0.474999283485,-0.719696675539,1.027310323407,1.464773090942,0.34873500004,O12,0.0,+,1.0,-40.0350478,O12,0.0,+,1.0,-40.0350478,-6.69305067,10.131652202108556,-1.5515637077441515,1.6229444581883894,8,4,-40.993637,1.5029689,3.229791447750257,0.040288296074119295
46871,6,-0.331752051116,-0.340471372927,-0.338529354869,-0.260653520546,2.490399717923,1.347857280175,-0.071820558998,-1.129160572062,0.987570220675,0.468966327926,-0.872680020129,-0.767791571512,-0.639875395341,-0.465140717699,0.804536737421,-1.524810081238,-0.280597283543,O12,0.0,+,1.0,-38.6171272,O12,0.0,+,1.0,-38.6171272,-6.50401859,10.16819066194437,-1.5597079121337951,1.6886015071089373,8,4,-37.4561,1.5736363,3.0685352867985496,0.04220988667301235
48036,6,-0.329091100416,-0.337809921137,-0.334106136725,-0.258669763964,2.459531319,0.749842276143,0.019199117615,-1.157452572902,0.931805021979,0.548071270389,-0.791813443992,-0.762013173985,-0.439303519478,-0.706969136799,0.944828498027,-1.448943004122,-0.378816001231,O12,0.0,+,1.0,-44.5095856,O12,0.0,+,1.0,-44.5095856,-5.38356943,9.018836656442089,-1.4728914144290262,1.7056631267671418,8,4,-45.2281,1.522885,3.180576779250503,0.039453504801826716
49335,6,-0.304508770409,-0.309802415886,-0.308419678557,-0.23385163833,2.047167531657,1.472304861087,0.143632017079,-1.074408612916,0.633230137716,0.444460061709,-0.712093605084,-0.738236318633,-0.125615759856,-1.154371532,1.138380571527,1.270679581629,0.246741521179,O12,0.0,+,1.0,-42.5921996,O12,0.0,+,1.0,-42.5921996,-6.13841574,9.58722676690336,-1.4527393732787008,1.6561952009424066,8,4,-43.802197,1.5136012,3.1108337877768037,0.039345722699596825
50112,6,-0.32699609948,-0.330505305307,-0.321415045848,-0.255717315589,2.325998356899,0.788083631659,-0.001040754904,-1.054232083627,0.95304951497,0.456360876497,-0.743981194677,-0.749229614374,-0.452795425315,-0.675298646903,1.004191777252,2.378690276987,0.367794660675,O12,0.0,+,1.0,-40.4526257,O12,0.0,+,1.0,-40.4526257,-6.21164003,9.774863215297032,-1.4763688864360744,1.6833790983794936,8,4,-40.441746,1.5401251,3.1474586083584413,0.04148232564500205
56200,6,-0.343642893063,-0.341173080313,-0.339146894456,-0.263620084394,2.563937662843,0.677838729724,-0.058666441522,-1.129367418538,0.995290770622,0.52523297357,-0.802803762963,-0.731914286013,-0.519144304349,-0.629461331758,0.985769918784,0.183864765627,0.11709080829,O12,0.0,+,1.0,-48.2615357,O12,0.0,+,1.0,-48.2615357,-5.23329657,8.852411990745427,-1.4816264293521513,1.698352107601152,8,4,-47.129475,1.5516077,3.15727756460633,0.03883597575844812
56367,6,-0.344099109514,-0.348295328305,-0.347990457277,-0.248409177311,2.65739019391,1.065538820264,0.01095160508,-0.982146798474,0.914847154385,0.327587525826,-0.881238721086,-0.712488329084,-0.50120034134,-0.620253414654,0.938823291779,-3.228645434258,-0.447785596445,O12,0.0,+,1.0,-43.8522511,O12,0.0,+,1.0,-43.8522511,-5.91950093,9.562887504213496,-1.5492133286636969,1.6855515819902394,8,4,-45.711395,1.5479,3.049563812623276,0.040870085947798264
56760,6,-0.352398168477,-0.34815799857,-0.350880337034,-0.261672142631,2.664504111724,0.961047068823,0.03600916279,-1.101371526521,0.931129192425,0.536194504947,-0.811502698568,-0.781600316907,-0.577781859574,-0.626380779819,0.924304630674,-2.459764114851,-0.602915392764,O12,0.0,+,1.0,-42.603258100000005,O12,0.0,+,1.0,-42.603258100000005,-5.75481526,9.474868790978276,-1.503739777442085,1.721401941307198,8,4,-40.095272,1.5875089,3.1779674930787967,0.04089934290914401
