Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rch
10225,4,-0.343045112306,-0.341340015027,-0.341116548628,-0.255423775059,2.501812543395,1.09268161615,-0.114318362996,-1.246609173934,0.997405774362,0.33054461529,-0.984255252524,-0.754866673111,-0.701720588158,-0.381719705763,0.77871606346,3.450018655325,0.761085911183,O14,0,+,1,-58.98510869,O14,0,+,1,-58.98510869,-4.56459863,7.939422931722409,-1.1931043470162506,1.7029036510343614
102321,4,-0.331308182238,-0.338094612444,-0.33439962584,-0.258080935824,2.439527523915,1.344685272047,0.036589968681,-1.181207126504,0.903873649031,0.558942093229,-0.889527278443,-0.71946994305,-0.487049593638,-0.625278234573,0.931965127026,-0.125438963209,-0.0611728251,O14,0,+,1,-64.4521253,O14,0,+,1,-64.4521253,-4.45277621,7.6398403076249215,-1.1535921294715423,1.658804647375145
102650,4,-0.355239879643,-0.347368681982,-0.352473098452,-0.239467252269,2.70040154598,1.24804447025,-0.041280438462,-1.214342308437,0.852198294024,0.266376421264,-0.820707095775,-0.706892097156,-0.496717049358,-0.588951222426,0.965411300034,-0.513218687654,0.051523403093,O14,0,+,1,-57.8529895,O14,0,+,1,-57.8529895,-4.58906194,8.127482222465948,-1.361241507802936,1.7015697648533286
102650,8,-0.355239879643,-0.347368681982,-0.352473098452,-0.239467252269,2.70040154598,1.24804447025,-0.041280438462,-1.214342308437,0.852198294024,0.266376421264,-0.820707095775,-0.706892097156,-0.496717049358,-0.588951222426,0.965411300034,-0.513218687654,0.051523403093,O14,0,+,1,-87.8659627,O14,0,+,1,-87.8659627,-4.17236097,7.196687384284735,-1.1501251888555502,1.6100814002494364
102650,6,-0.355239879643,-0.347368681982,-0.352473098452,-0.239467252269,2.70040154598,1.24804447025,-0.041280438462,-1.214342308437,0.852198294024,0.266376421264,-0.820707095775,-0.706892097156,-0.496717049358,-0.588951222426,0.965411300034,-0.513218687654,0.051523403093,O14,0,+,1,-76.9863522,O14,0,+,1,-76.9863522,-4.30531866,7.688957982863566,-1.3747672505656876,1.6513730536429005
103036,4,-0.348369632533,-0.345047321201,-0.351050184137,-0.240021761633,2.634087505945,0.615263092784,-0.023406882946,-0.940425387333,0.876514304159,0.238411974576,-0.860395439831,-0.714334353225,-0.554657683817,-0.51125529142,0.902813155414,-2.505425904367,-0.409614789501,O14,0,+,1,-51.4040181,O14,0,+,1,-51.4040181,-4.74782342,8.553129522545097,-1.479635271219519,1.7446580528360216
103297,4,-0.339128280116,-0.338538404502,-0.343219036209,-0.23925979183,2.584256481902,0.880344634829,-0.022479269024,-1.104563494158,0.743600817872,0.410320445804,-0.842302306322,-0.764517947055,-0.427736515696,-0.704479844092,0.938501042826,-0.34445685646,-0.031303301486,O14,0,+,1,-59.94680925,O14,0,+,1,-59.94680925,-4.51755288,7.829475374440485,-1.2362289657540602,1.6714827006841633
103297,8,-0.339128280116,-0.338538404502,-0.343219036209,-0.23925979183,2.584256481902,0.880344634829,-0.022479269024,-1.104563494158,0.743600817872,0.410320445804,-0.842302306322,-0.764517947055,-0.427736515696,-0.704479844092,0.938501042826,-0.34445685646,-0.031303301486,O14,0,+,1,-88.9122406,O14,0,+,1,-88.9122406,-4.04178584,6.938019059639236,-1.0263021482015433,1.6087547859875018
103297,6,-0.339128280116,-0.338538404502,-0.343219036209,-0.23925979183,2.584256481902,0.880344634829,-0.022479269024,-1.104563494158,0.743600817872,0.410320445804,-0.842302306322,-0.764517947055,-0.427736515696,-0.704479844092,0.938501042826,-0.34445685646,-0.031303301486,O14,0,+,1,-78.8314451,O14,0,+,1,-78.8314451,-4.23037351,7.455066639898285,-1.2776122296141783,1.6325568260505074
103500,4,-0.345415005444,-0.351245685707,-0.347497142813,-0.241469201553,2.741951872664,0.431783913721,-0.069954387657,-1.059609184531,0.787584445341,0.355354202533,-0.873902567859,-0.745637117657,-0.601911083179,-0.502509798247,0.901460090294,3.137692089896,0.842673175926,O14,0,+,1,-55.2763761,O14,0,+,1,-55.2763761,-4.81845059,8.36095408936195,-1.3169914834080647,1.7157135267735943
1036,4,-0.345819330877,-0.337986031624,-0.339380751253,-0.240723478292,2.60046146889,0.850274132797,0.121633436455,-1.032171346991,0.745722964246,0.447708285345,-0.69972662175,-0.730205709205,-0.327925067924,-0.807643480467,1.015845060569,-2.409396107893,-0.551637154109,O14,0,+,1,-56.92096187,O14,0,+,1,-56.92096187,-4.71839583,8.196006181050716,-1.297739915280825,1.7023605158044197
1036,6,-0.345819330877,-0.337986031624,-0.339380751253,-0.240723478292,2.60046146889,0.850274132797,0.121633436455,-1.032171346991,0.745722964246,0.447708285345,-0.69972662175,-0.730205709205,-0.327925067924,-0.807643480467,1.015845060569,-2.409396107893,-0.551637154109,O14,0,+,1,-71.65196660000001,O14,0,+,1,-71.65196660000001,-4.4671503,7.883374314808149,-1.3571478247261135,1.6665044494636176
1036,8,-0.345819330877,-0.337986031624,-0.339380751253,-0.240723478292,2.60046146889,0.850274132797,0.121633436455,-1.032171346991,0.745722964246,0.447708285345,-0.69972662175,-0.730205709205,-0.327925067924,-0.807643480467,1.015845060569,-2.409396107893,-0.551637154109,O14,0,+,1,-78.979427,O14,0,+,1,-78.979427,-4.41671064,7.619094952021589,-1.2516700735563415,1.6336692224759721
104033,10,-0.354933628948,-0.349092289263,-0.349409949017,-0.247194458372,2.677584365466,1.191944305055,-0.08946763356,-1.053449535462,0.890118209234,0.322805369798,-0.9436165057,-0.726358661941,-0.617187424191,-0.495317632637,0.888269350077,-1.106818120663,-0.237472773587,O14,0,+,1,-84.0566828,O14,0,+,1,-84.0566828,-4.23016809,6.89311996690388,-0.9623359049339032,1.5552417374704088
10427,4,-0.323158013973,-0.320020255488,-0.323900182093,-0.25562035962,2.178875921487,0.790557950557,0.113560009148,-0.900662254707,0.901653527941,0.531010953385,-0.797753938516,-0.762693604605,-0.312428127226,-0.884460743913,1.067408139989,-2.222867605683,-0.848601721904,O14,0,+,1,-59.12664963,O14,0,+,1,-59.12664963,-4.70825639,7.897042554915916,-1.0807288695710529,1.681135980622883
104898,4,-0.345681202644,-0.346622301456,-0.348017683697,-0.243627640873,2.589597525255,0.469484518412,-0.030856559387,-1.191552505673,0.908492387962,0.245421561455,-0.782796824932,-0.725356840551,-0.595388752321,-0.512094931868,0.861213812294,2.705236366296,0.451135071671,O14,0,+,1,-49.05118049,O14,0,+,1,-49.05118049,-5.21530458,8.760735683948754,-1.2613459684710195,1.7326990579664243
104898,6,-0.345681202644,-0.346622301456,-0.348017683697,-0.243627640873,2.589597525255,0.469484518412,-0.030856559387,-1.191552505673,0.908492387962,0.245421561455,-0.782796824932,-0.725356840551,-0.595388752321,-0.512094931868,0.861213812294,2.705236366296,0.451135071671,O14,0,+,1,-69.5755439,O14,0,+,1,-69.5755439,-5.14124832,8.342028701707227,-1.330930205066439,1.608729643737812
104898,8,-0.345681202644,-0.346622301456,-0.348017683697,-0.243627640873,2.589597525255,0.469484518412,-0.030856559387,-1.191552505673,0.908492387962,0.245421561455,-0.782796824932,-0.725356840551,-0.595388752321,-0.512094931868,0.861213812294,2.705236366296,0.451135071671,O14,0,+,1,-81.5299767,O14,0,+,1,-81.5299767,-5.21032713,7.937213229021547,-1.2344585069136482,1.4868047895093355
106694,10,-0.327838997173,-0.334000842406,-0.332515261244,-0.234716137699,2.372153639647,0.752188766392,-0.056410428596,-1.207606546707,0.826618974556,0.197156431077,-0.836579085252,-0.751901036638,-0.503824434426,-0.646476283014,0.982244856901,-3.54960017555,-0.721880625776,O14,0,+,1,-83.4051285,O14,0,+,1,-83.4051285,-3.68941575,6.67634953860892,-1.1915175162070168,1.585426492273263
106873,8,-0.328649598466,-0.328751682564,-0.328813445219,-0.231173644019,2.283821313019,1.476541640398,0.118110107087,-0.990132378747,0.764896024256,0.230624676765,-0.803217015984,-0.769502839426,-0.361943904203,-0.847111907554,1.112138263467,-1.733247661187,-0.330108400483,O14,0,+,1,-78.7613191,O14,0,+,1,-78.7613191,-4.59577824,7.870479003772048,-1.3748057109031773,1.6180407729315325
106873,6,-0.328649598466,-0.328751682564,-0.328813445219,-0.231173644019,2.283821313019,1.476541640398,0.118110107087,-0.990132378747,0.764896024256,0.230624676765,-0.803217015984,-0.769502839426,-0.361943904203,-0.847111907554,1.112138263467,-1.733247661187,-0.330108400483,O14,0,+,1,-67.2175242,O14,0,+,1,-67.2175242,-4.79688015,8.380811881363261,-1.5129504855495364,1.6700724941791372
106873,4,-0.328649598466,-0.328751682564,-0.328813445219,-0.231173644019,2.283821313019,1.476541640398,0.118110107087,-0.990132378747,0.764896024256,0.230624676765,-0.803217015984,-0.769502839426,-0.361943904203,-0.847111907554,1.112138263467,-1.733247661187,-0.330108400483,O14,0,+,1,-47.08073569,O14,0,+,1,-47.08073569,-5.00704346,8.881904580313892,-1.4333207132799872,1.7775548647042947
107119,4,-0.355840878916,-0.355748861339,-0.357375130308,-0.248315834648,2.698406056944,0.893610425141,-0.188931027383,-1.235240507815,0.996660513079,0.200014081766,-1.055919389066,-0.691621812627,-0.918772941522,-0.044560796414,0.737293408358,-1.236783494372,-0.185540526371,O14,0,+,1,-44.21259485,O14,0,+,1,-44.21259485,-4.57091232,8.531184401253162,-1.5746718946757687,1.7617494363777708
107119,6,-0.355840878916,-0.355748861339,-0.357375130308,-0.248315834648,2.698406056944,0.893610425141,-0.188931027383,-1.235240507815,0.996660513079,0.200014081766,-1.055919389066,-0.691621812627,-0.918772941522,-0.044560796414,0.737293408358,-1.236783494372,-0.185540526371,O14,0,+,1,-66.05104560000001,O14,0,+,1,-66.05104560000001,-4.24544004,8.034443975865354,-1.6804414117165154,1.6812862380180356
107119,8,-0.355840878916,-0.355748861339,-0.357375130308,-0.248315834648,2.698406056944,0.893610425141,-0.188931027383,-1.235240507815,0.996660513079,0.200014081766,-1.055919389066,-0.691621812627,-0.918772941522,-0.044560796414,0.737293408358,-1.236783494372,-0.185540526371,O14,0,+,1,-78.800611,O14,0,+,1,-78.800611,-3.83177112,7.255418222300153,-1.3621373198816142,1.6672344383494897
107289,4,-0.335406363089,-0.335757156835,-0.336270567854,-0.235991725591,2.415507023843,0.914636901244,0.029076310034,-1.071375409328,0.711959809238,0.360375787751,-0.774361047957,-0.732774906346,-0.433913380639,-0.722728845491,1.032914008031,0.876356380583,0.044085189646,O14,0,+,1,-49.84901476,O14,0,+,1,-49.84901476,-4.95902673,8.581449072661831,-1.2897725759653933,1.7466569945746182
108346,4,-0.321368937207,-0.323279006481,-0.322502075532,-0.247800094311,2.20268575218,0.420054004575,-0.026859483162,-1.14702677251,0.906279793432,0.347399830186,-0.816367338929,-0.74554706251,-0.487167580763,-0.64161429113,0.973347915672,2.956646817313,0.272995753589,O14,0,+,1,-50.05147001,O14,0,+,1,-50.05147001,-4.98613329,8.316585443554048,-1.1001698915728668,1.7171031279399562
108346,6,-0.321368937207,-0.323279006481,-0.322502075532,-0.247800094311,2.20268575218,0.420054004575,-0.026859483162,-1.14702677251,0.906279793432,0.347399830186,-0.816367338929,-0.74554706251,-0.487167580763,-0.64161429113,0.973347915672,2.956646817313,0.272995753589,O14,0,+,1,-72.02920307,O14,0,+,1,-72.02920307,-4.89063607,7.820223735850894,-1.0974889952698197,1.5969532117695477
108346,8,-0.321368937207,-0.323279006481,-0.322502075532,-0.247800094311,2.20268575218,0.420054004575,-0.026859483162,-1.14702677251,0.906279793432,0.347399830186,-0.816367338929,-0.74554706251,-0.487167580763,-0.64161429113,0.973347915672,2.956646817313,0.272995753589,O14,0,+,1,-84.50880120000001,O14,0,+,1,-84.50880120000001,-4.9185185,7.322587386252945,-0.9169712518225746,1.4850112876440937
