Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rch
100524,4,-0.341431067146,-0.348897216684,-0.344298987005,-0.263014044429,2.65446055488,1.318909517722,0.004266593934,-1.193557115192,0.958594143234,0.591739067935,-0.815095636609,-0.738143288417,-0.586516001464,-0.506633376076,0.882816280257,2.934421214507,0.761287570712,O19,5/2,+,1,-86.7831261,O19,5/2,+,1,-86.7831261,7.61418076,0.2350684212739603,0.0135672026468874,2.917036556836552
100524,8,-0.341431067146,-0.348897216684,-0.344298987005,-0.263014044429,2.65446055488,1.318909517722,0.004266593934,-1.193557115192,0.958594143234,0.591739067935,-0.815095636609,-0.738143288417,-0.586516001464,-0.506633376076,0.882816280257,2.934421214507,0.761287570712,O19,5/2,+,1,-119.045664,O19,5/2,+,1,-119.045664,7.08684257,0.1972909262319369,0.0023862103104309,2.816523672285104
100524,6,-0.341431067146,-0.348897216684,-0.344298987005,-0.263014044429,2.65446055488,1.318909517722,0.004266593934,-1.193557115192,0.958594143234,0.591739067935,-0.815095636609,-0.738143288417,-0.586516001464,-0.506633376076,0.882816280257,2.934421214507,0.761287570712,O19,5/2,+,1,-108.5804126,O19,5/2,+,1,-108.5804126,7.28319573,0.1968513728551094,0.0045534704254124,2.851470929762483
100673,4,-0.329452227801,-0.326489465943,-0.326299209016,-0.251406311712,2.297465351425,0.720060680001,-0.020300749789,-0.878688929483,0.873867719057,0.493219893286,-0.873164063714,-0.727995900548,-0.427929878732,-0.668971876839,1.013713892044,-0.864257142112,-0.342892905177,O19,5/2,+,1,-81.6422056,O19,5/2,+,1,-81.6422056,7.44427219,0.204630464633916,0.0136762924121346,2.882510162522597
100673,6,-0.329452227801,-0.326489465943,-0.326299209016,-0.251406311712,2.297465351425,0.720060680001,-0.020300749789,-0.878688929483,0.873867719057,0.493219893286,-0.873164063714,-0.727995900548,-0.427929878732,-0.668971876839,1.013713892044,-0.864257142112,-0.342892905177,O19,5/2,+,1,-105.7204341,O19,5/2,+,1,-105.7204341,7.05142071,0.1571449294331585,0.003605958112387,2.8032940422912374
100673,8,-0.329452227801,-0.326489465943,-0.326299209016,-0.251406311712,2.297465351425,0.720060680001,-0.020300749789,-0.878688929483,0.873867719057,0.493219893286,-0.873164063714,-0.727995900548,-0.427929878732,-0.668971876839,1.013713892044,-0.864257142112,-0.342892905177,O19,5/2,+,1,-118.066951,O19,5/2,+,1,-118.066951,6.81207572,0.164314833202339,0.0039578391659168,2.7616361603890285
101992,8,-0.342090504902,-0.348513177984,-0.344333061066,-0.264962365967,2.684727073382,0.960744831497,-0.0205007598,-0.971470145968,0.986545388226,0.585594584004,-0.925106745198,-0.703875811542,-0.561737133638,-0.513328280823,0.926378846133,-2.307873830515,-0.349008067909,O19,3/2,+,1,-123.634689,O19,3/2,+,1,-123.634689,6.6216677,0.1153205161951203,-0.0032618797422953,2.716617791750033
101992,4,-0.342090504902,-0.348513177984,-0.344333061066,-0.264962365967,2.684727073382,0.960744831497,-0.0205007598,-0.971470145968,0.986545388226,0.585594584004,-0.925106745198,-0.703875811542,-0.561737133638,-0.513328280823,0.926378846133,-2.307873830515,-0.349008067909,O19,5/2,+,1,-92.9228976,O19,5/2,+,1,-92.9228976,7.18836151,0.154811857816878,0.0114606292092626,2.8285897346603908
104033,10,-0.354933628948,-0.349092289263,-0.349409949017,-0.247194458372,2.677584365466,1.191944305055,-0.08946763356,-1.053449535462,0.890118209234,0.322805369798,-0.9436165057,-0.726358661941,-0.617187424191,-0.495317632637,0.888269350077,-1.106818120663,-0.237472773587,O19,5/2,+,1,-115.846615,O19,5/2,+,1,-115.846615,7.02875517,0.1417747754974685,0.000328611490148,2.7959156723670366
106694,10,-0.327838997173,-0.334000842406,-0.332515261244,-0.234716137699,2.372153639647,0.752188766392,-0.056410428596,-1.207606546707,0.826618974556,0.197156431077,-0.836579085252,-0.751901036638,-0.503824434426,-0.646476283014,0.982244856901,-3.54960017555,-0.721880625776,O19,5/2,+,1,-117.882177,O19,5/2,+,1,-117.882177,6.57286433,0.1280642291871957,0.0020983057129664,2.7109615922952806
