Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rch
790391,8,-0.348572477336,-0.343587775684,-0.3462131424,-0.230726604073,2.65931432508,0.524945422158,0.061730723959,-0.904853778897,0.718803257842,0.278774053547,-0.841120907599,-0.735295814454,-0.376480031475,-0.790571075281,1.058150271957,-1.2369076073,-0.173951182072,O23,1/2,+,1,-137.841251,O23,1/2,+,1,-137.841251,6.99411619,0.4752258698043322,-0.0558189959268149,2.828835264535126
791134,4,-0.351640497284,-0.343672863503,-0.349028090814,-0.244909429711,2.602259510704,0.653510641413,0.013356189918,-0.903867738638,0.811252047483,0.371080913091,-0.910212809381,-0.751533420533,-0.560264388781,-0.599623273337,0.916922613494,-0.891098486336,-0.239063801018,O23,1/2,+,1,-79.968885,O23,1/2,+,1,-79.968885,7.75238264,0.4669873952131642,-0.0607007158050508,2.9576097121506946
791134,6,-0.351640497284,-0.343672863503,-0.349028090814,-0.244909429711,2.602259510704,0.653510641413,0.013356189918,-0.903867738638,0.811252047483,0.371080913091,-0.910212809381,-0.751533420533,-0.560264388781,-0.599623273337,0.916922613494,-0.891098486336,-0.239063801018,O23,1/2,+,1,-110.9693413,O23,1/2,+,1,-110.9693413,7.35035076,0.4619377298188047,-0.0497585590077028,2.88986432567536
791134,8,-0.351640497284,-0.343672863503,-0.349028090814,-0.244909429711,2.602259510704,0.653510641413,0.013356189918,-0.903867738638,0.811252047483,0.371080913091,-0.910212809381,-0.751533420533,-0.560264388781,-0.599623273337,0.916922613494,-0.891098486336,-0.239063801018,O23,1/2,+,1,-128.633357,O23,1/2,+,1,-128.633357,7.10397595,0.48391756024078,-0.0552754028658287,2.8498077123509495
792924,10,-0.316576222942,-0.314932294225,-0.311510963596,-0.231396952431,2.105802988449,1.257189717722,0.053560254461,-1.039830765871,0.810285497733,0.191768750678,-0.754605063288,-0.725568465165,-0.310084931007,-0.863269766821,1.057238755567,-2.271540720073,-0.469288857471,O23,1/2,+,1,-118.57754,O23,1/2,+,1,-118.57754,6.50181074,2.5901363384569174,-1.509307729468479,2.8585704887213184
793296,4,-0.335934920395,-0.341354179256,-0.340084559345,-0.251587824052,2.583805881027,1.46412827059,-4.1212875e-05,-0.89730598932,0.874758502465,0.456139396879,-0.821643058256,-0.757729145358,-0.522299551375,-0.603051973092,0.933374439789,1.763994384223,0.415854656682,O23,1/2,+,1,-66.4738333,O23,1/2,+,1,-66.4738333,8.57031846,0.5765924162977744,-0.0590218984502808,3.1107354223475023
793296,6,-0.335934920395,-0.341354179256,-0.340084559345,-0.251587824052,2.583805881027,1.46412827059,-4.1212875e-05,-0.89730598932,0.874758502465,0.456139396879,-0.821643058256,-0.757729145358,-0.522299551375,-0.603051973092,0.933374439789,1.763994384223,0.415854656682,O23,1/2,+,1,-94.0816065,O23,1/2,+,1,-94.0816065,8.20598852,0.5510412236705424,-0.0510113699944998,3.0487381428512426
793296,8,-0.335934920395,-0.341354179256,-0.340084559345,-0.251587824052,2.583805881027,1.46412827059,-4.1212875e-05,-0.89730598932,0.874758502465,0.456139396879,-0.821643058256,-0.757729145358,-0.522299551375,-0.603051973092,0.933374439789,1.763994384223,0.415854656682,O23,1/2,+,1,-109.0376058,O23,1/2,+,1,-109.0376058,7.94567797,0.5450847219772759,-0.0582086844484793,3.0035545437912057
795101,4,-0.339585498792,-0.339069041448,-0.335042220816,-0.234373168955,2.52772011034,0.979590937156,0.032342049474,-1.13901029588,0.7861736776,0.225120077933,-0.845961768137,-0.779525452266,-0.416566832251,-0.825396866384,1.013341472305,2.395656197323,0.708407124628,O23,1/2,+,1,-84.5937349,O23,1/2,+,1,-84.5937349,7.718848,0.3982397524348591,-0.0672706392480672,2.9391500477496537
795101,6,-0.339585498792,-0.339069041448,-0.335042220816,-0.234373168955,2.52772011034,0.979590937156,0.032342049474,-1.13901029588,0.7861736776,0.225120077933,-0.845961768137,-0.779525452266,-0.416566832251,-0.825396866384,1.013341472305,2.395656197323,0.708407124628,O23,1/2,+,1,-123.7785587,O23,1/2,+,1,-123.7785587,7.27832226,0.4028437575962059,-0.0576802490708523,2.8657061361077054
