id,path,shared_latent_dim,hidden_dim,n_embedding_dim,fidelity_embedding_dim
65,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,64,64,20,8
66,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,64,64,20,8
67,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,64,64,20,8
68,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,64,64,20,8
69,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,64,64,20,8
70,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,64,64,20,8
71,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,64,64,20,8
72,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,64,64,20,8
73,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,80,64,20,8
74,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,80,64,20,8
75,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,80,64,20,8
76,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,80,64,20,8
77,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,80,64,20,8
78,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,80,64,20,8
79,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,80,64,20,8
80,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,80,64,20,8
81,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,80,64,20,8
82,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,96,64,20,8
83,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,96,64,20,8
84,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,96,64,20,8
85,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,96,64,20,8
86,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,96,64,20,8
87,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,96,64,20,8
88,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,96,64,20,8
89,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,96,64,20,8
90,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,96,64,20,8
91,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,128,64,20,8
92,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,128,64,20,8
93,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,128,64,20,8
94,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,128,64,20,8
95,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,128,64,20,8
96,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,128,64,20,8
97,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,128,64,20,8
98,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,128,64,20,8
99,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,128,64,20,8
